date,gold_usd_per_oz,krw_usd_rate,intl_krw_per_g,physical_krw_per_g,spread_krw,spread_pct,source_physical
2026-03-02,5335.44,1453.28,249293,283200,8162,3.27,한국표준금거래소
2026-03-03,5124.54,1484.18,244530,,,,
2026-03-04,5153.61,1461.85,242217,,,,
2026-03-05,5093.23,1480.61,242451,286667,18155,7.49,한국표준금거래소
2026-03-06,5171.62,1485.29,246961,,,,
2026-03-09,5130.62,1465.94,241811,287733,19764,8.17,한국표준금거래소
2026-03-10,5193.43,1473.88,246097,,,,
2026-03-11,5167.53,1476.84,245362,,,,
2026-03-12,5094.27,1482.52,242814,,,,
2026-03-13,5019.0,1502.85,242507,,,,
2026-03-16,5001.35,1490.42,239655,,,,
2026-03-17,5002.48,1485.96,238992,,,,
2026-03-18,4821.14,1506.76,233553,,,,
2026-03-19,4666.45,1487.34,223145,,,,
2026-03-20,4493.78,1505.31,217485,,,,
2026-03-23,4409.44,1486.46,210731,259733,25390,12.05,한국표준금거래소
2026-03-24,4469.66,1498.41,215326,241600,4310,2.0,한국표준금거래소
2026-03-25,4513.37,1502.53,218029,246933,6456,2.96,한국표준금거래소
2026-03-26,4396.02,1509.41,213333,257067,20364,9.55,한국표준금거래소
2026-03-27,4493.79,1508.0,217874,,,,
2026-03-30,4509.9,1517.13,219979,252267,9355,4.25,한국표준금거래소
2026-03-31,4674.38,1504.33,226078,252267,3256,1.44,한국표준금거래소
2026-04-01,4772.43,1513.23,232186,,,,
2026-04-02,4676.67,1510.19,227070,266933,15596,6.87,한국표준금거래소
2026-04-03,4676.61,1511.26,227228,266933,15438,6.79,한국표준금거래소
2026-04-06,4661.44,1508.83,226126,,,,
2026-04-07,4732.2,1500.74,228328,,,,
2026-04-08,4711.76,1478.6,223988,263733,15769,7.04,한국표준금거래소
2026-04-09,4768.12,1474.22,225996,,,,
2026-04-10,4749.13,1484.75,226703,262133,11600,5.12,한국표준금거래소
2026-04-13,4747.22,1477.95,225574,264800,15153,6.72,한국표준금거래소
2026-04-14,4840.65,1470.49,228853,264267,11390,4.98,한국표준금거래소
2026-04-15,4800.27,1475.1,227655,265600,13800,6.06,한국표준금거래소
2026-04-16,4794.34,1478.95,227968,,,,
2026-04-17,4831.17,1467.08,227875,,,,
2026-04-20,4829.55,1470.26,228292,,,,
2026-04-21,4717.44,1486.78,225499,265867,16198,7.18,한국표준금거래소
2026-04-22,4733.75,1478.97,225090,,,,
2026-04-23,4693.26,1480.76,223434,264533,17051,7.63,한국표준금거래소
2026-04-24,4709.93,1476.64,223604,263200,15669,7.01,한국표준금거래소
2026-04-27,4689.14,1474.01,222221,261067,15113,6.8,한국표준금거래소
2026-04-28,4596.47,1473.09,217693,261067,19641,9.02,한국표준금거래소
2026-04-29,4549.66,1488.38,217713,255733,14772,6.78,한국표준금거래소
2026-04-30,4630.71,1475.27,219639,,,,
2026-05-01,4614.56,1471.32,218287,256000,14440,6.62,한국표준금거래소
2026-05-04,4519.69,1477.05,214632,254933,17125,7.98,한국표준금거래소
2026-05-05,4547.62,1474.96,215653,,,,
2026-05-06,4695.06,1445.46,218192,251467,10414,4.77,한국표준금거래소
2026-05-07,4695.42,1455.7,219754,,,,
2026-05-08,4715.15,1461.92,221620,258133,13046,5.89,한국표준금거래소
2026-05-11,4767.23,1475.55,226157,258667,8995,3.98,한국표준금거래소
2026-05-12,4715.54,1492.33,226249,257867,8176,3.61,한국표준금거래소
2026-05-13,4696.74,1489.47,224915,257867,9510,4.23,한국표준금거래소
2026-05-14,4658.73,1492.61,223565,263200,15708,7.03,한국표준금거래소
2026-05-15,4540.35,1497.63,218617,,,,
2026-05-18,4571.95,1488.29,218766,255200,13234,6.05,한국표준금거래소
2026-05-19,4479.53,1506.84,217015,,,,
2026-05-20,4538.57,1496.51,218368,256800,15087,6.91,한국표준금거래소
2026-05-21,4532.0,1504.04,219149,254133,11881,5.42,국제표준금거래소
2026-05-22,4523.79,1515.35,220397,255200,11603,5.26,한국표준금거래소
